month,site_anomaly_m,site_sd_m,n_wells,P_m,PET,site_anomaly_smoothed_m
1956-11-01,-0.2516083282679149,0.05043534862305997,50,0.0346,0.0269307968840671,-0.21710712562809084
1956-12-01,-0.029294167109971757,0.06524260346906054,50,0.1128,0.0233706357718067,-0.15553666802495764
1957-01-01,0.093884575973203,0.06881443640052284,50,0.0916,0.0207954835057,-0.10052938186277068
1957-02-01,0.24149138387756947,0.0799880028647422,50,0.0992,0.0193904270619026,-0.04756474553595492
1957-03-01,0.22917167484594686,0.06968597436762093,50,0.072,0.0454067023293241,-0.031907134086001744
1957-04-01,-0.030770177577490402,0.04079390713320905,50,0.0123,0.04860865886524,0.006630374620035869
1957-05-01,-0.038927506972052994,0.03184347507484364,50,0.0765999999999999,0.0695545006683625,0.05074947972953737
1957-06-01,-0.20991560775604196,0.02528515923436373,50,0.0466,0.0971844107323216,0.09858677629849048
1957-07-01,-0.10389041611384217,0.04868901515299804,50,0.1139,0.1042973590456291,0.14009873793825892
1957-08-01,0.0185425452840049,0.08752905001236444,50,0.1158,0.0925868165161697,0.17613187726397936
1957-09-01,0.301050589997591,0.13419749880774223,50,0.1466,0.0628448723467699,0.2209443623318225
1957-10-01,0.38925919057344754,0.13313522027974015,50,0.0984,0.0466031983004526,0.24833851854518954
1957-11-01,0.3224392305595224,0.09147572400305776,50,0.0537,0.023482234480241,0.27963026358395554
1957-12-01,0.4688493725672495,0.09564386761495168,50,0.1025,0.0180111123615228,0.3184937068339013
1958-01-01,0.5262822478818479,0.08738193916412976,50,0.0827,0.016449606925794,0.3744111817257971
1958-02-01,0.7792412046916876,0.11866890919317807,50,0.1324,0.0192218853887219,0.4192235568893643
1958-03-01,0.5579015494063515,0.08234032243177006,50,0.0216,0.0212352896270795,0.4456098096808723
1958-04-01,0.34473076288770094,0.08216584885590034,50,0.0263,0.0404845975357945,0.4768051208358927
1958-05-01,0.42743381202729686,0.07048987144733104,50,0.1036,0.065277669494334,0.49918627236037977
1958-06-01,0.46109409094670767,0.05589839004663039,50,0.1023,0.0907452920602391,0.5267462956599062
1958-07-01,0.43385808584896407,0.047249905628220006,50,0.092,0.1015607113018984,0.5471694157703614
1958-08-01,0.33517757878210147,0.03894189998438589,50,0.0711,0.093096579771625,0.5762053843243018
1958-09-01,0.6753943238578347,0.10266351510266647,50,0.1708,0.0766251124349393,0.5636606336153628
1958-10-01,0.6578330088672931,0.0875468159149027,50,0.0802,0.0505667810136955,0.5561450327780799
1958-11-01,0.6531595101538394,0.07086374923912986,50,0.0749,0.0281555499424294,0.5578123345294456
1958-12-01,0.7139268138927125,0.07209471090675201,50,0.0871,0.0181789653408903,0.537238276824425
1959-01-01,0.874713870529132,0.09178943341524363,50,0.1105999999999999,0.0128321934864877,0.49666933420436504
1959-02-01,0.6287041961844198,0.09396092479503826,50,0.0168,0.0209381268910493,0.4364972778860831
1959-03-01,0.4677143393589573,0.11519943092199074,50,0.0385,0.0363947349378122,0.35762017476857516
1959-04-01,0.36473838390408814,0.12542496130473502,50,0.0544,0.0495218838977252,0.23392430363019576
1959-05-01,0.18054511956705052,0.12814672668345004,50,0.0442,0.0816598212756271,0.13693640225101886
1959-06-01,-0.025733220494012582,0.13027036310419304,50,0.0407999999999999,0.0963130627485648,0.08550303334494147
1959-07-01,-0.2882065899704182,0.14329336723222227,50,0.0271,0.1064856357901692,0.061076006290907446
1959-08-01,-0.611347658627995,0.17523779267090286,50,0.0049,0.0987861343556446,0.04402310411378252
1959-09-01,-0.8089561298027175,0.19086329069909605,50,0.0207,0.0732048844977307,0.05598903630466917
1959-10-01,-0.5060218076828299,0.1164854354660617,50,0.1331999999999999,0.0552464932439967,0.0684014508839188
1959-11-01,0.035959083280910936,0.033279860119846974,50,0.187,0.0265392908263415,0.0812964579031283
1959-12-01,0.42080248924430413,0.06259302973080856,50,0.156,0.0196905032763274,0.09081565749668281
1960-01-01,0.6700790444036329,0.08905723081101649,50,0.1281999999999999,0.0153019915185579,0.09550557838200269
1960-02-01,0.7722953824750596,0.09218408997592913,50,0.0964,0.0146486347108201,0.11789075645574393
1960-03-01,0.6166633143099528,0.07121639949224866,50,0.041,0.031267719539181,0.15482437784557443
1960-04-01,0.5194784681346022,0.07193525324228797,50,0.0573,0.045130666877445,0.21618876023210443
1960-05-01,0.2947755146897048,0.07396774030600395,50,0.0356,0.0766514995751409,0.27667195844701187
1960-06-01,0.03054583012982583,0.08484810510002885,50,0.0299,0.0989997902469497,0.3312051988472416
1960-07-01,-0.019584453085523517,0.06826201962451832,50,0.0769,0.0971451469468426,0.36664914191887577
1960-08-01,-0.1681442019500289,0.07899996312434651,50,0.049,0.0886171237693726,0.40162056111284516
1960-09-01,-0.07258354116435743,0.05511337446315211,50,0.0975999999999999,0.0649279688545629,0.4260807694988242
1960-10-01,0.21977657089605934,0.03363490859284274,50,0.1403,0.0447692589875906,0.4388670488964686
1960-11-01,0.6903579680836678,0.0959296844228392,50,0.1829,0.0271704638524649,0.4657187768602051
1960-12-01,0.8461298061039141,0.10241707063007462,50,0.1100999999999999,0.015156395574519,0.4959934933658428
1961-01-01,1.0897360747312659,0.12860257804692327,50,0.1339,0.0141896479117613,0.5287762992262689
1961-02-01,1.065817883106807,0.1140083701246862,50,0.0764,0.024386567469338,0.5568044335375315
1961-03-01,0.7700986670816874,0.09239126306392055,50,0.0141,0.0377115714895641,0.6020488042296247
1961-04-01,0.8416992036994388,0.09414666844710198,50,0.1034,0.0516117796538245,0.6391410472708784
1961-05-01,0.6580721127573572,0.09042959641068737,50,0.0489,0.070109482108766,0.6865942233007444
1961-06-01,0.4239395004549386,0.09245402999509798,50,0.0401,0.0893108151839533,0.7041828761845957
1961-07-01,0.3167531586496285,0.08239016112001585,50,0.0694,0.096118536436556,0.7157012537999492
1961-08-01,0.3747882463550896,0.05802033922316875,50,0.1057,0.0897767389181528,0.7169493799742099
1961-09-01,0.37252337533068663,0.05274226676159688,50,0.0866,0.07438598015993,0.7065699059400868
1961-10-01,0.7892146832544503,0.072970526334818,50,0.1793,0.047171851988958,0.710781628898166
1961-11-01,0.9014218026898844,0.07920633020530929,50,0.1044,0.0248313133581287,0.6931088417561991
1961-12-01,0.9843503374881566,0.08729644253739412,50,0.0944,0.011608986308117,0.6818746403820479
1962-01-01,1.1047135888223947,0.10390503087214577,50,0.1067,0.0166480261839583,0.6724216126784904
1962-02-01,0.9412641946973288,0.114855602763897,50,0.0402999999999999,0.0193567794789013,0.6546189634703385
1962-03-01,0.8206393425786392,0.14339981692384934,50,0.0469,0.0173300695723228,0.6303940531905631
1962-04-01,0.6296257579958353,0.16747206442453108,50,0.0367,0.0433597843497954,0.6030123808760093
1962-05-01,0.5232616962675432,0.16700696882035787,50,0.0624,0.0670793467082479,0.5303847360500105
1962-06-01,0.3105031680122485,0.17174893504403416,50,0.0415,0.0865720694967545,0.4614774131812007
1962-07-01,0.10312136815180553,0.17112454981823524,50,0.0439,0.1000708422303939,0.38537511662644436
1962-08-01,0.0840893229977834,0.14660189000405235,50,0.0819,0.0876736306758562,0.28703698857901033
1962-09-01,0.04394330755604111,0.13849861419185894,50,0.0693,0.0675050144183627,0.1879760665059541
1962-10-01,-0.08231705465753497,0.154749796816652,50,0.0411,0.0494283585531374,0.11480710476694789
1962-11-01,0.07453392826416726,0.13013891772799457,50,0.0997,0.0261400245435805,0.059996553214297414
1962-12-01,0.07112277883108085,0.14436329871118933,50,0.0593,0.0148535301543437,0.005852255362491138
1963-01-01,-0.07534394774681438,0.19134118759109395,50,0.0191,0.0007068645250467,-0.027900088389280042
1963-02-01,-0.2474668701793454,0.23594447828508028,50,0.0119,0.0058755843234701,-0.06734161865261183
1963-03-01,-0.05738819828943567,0.19681458974438854,50,0.1075,0.0343468852055191,-0.09200673242771823
1963-04-01,-0.028100860635970202,0.18220676102108352,50,0.0765,0.0477176476974303,-0.11521284701262281
1963-05-01,-0.12646987795413214,0.17702849769539233,50,0.0538,0.0697926292665625,-0.12793812510067706
1963-06-01,-0.0945249570090057,0.13448633915556968,50,0.0944,0.0987968297823285,-0.1310151936646165
1963-07-01,-0.37017699500817586,0.1522706487882419,50,0.0206,0.1006013287303491,-0.14827255764562478
1963-08-01,-0.2118920423034934,0.09863064024302931,50,0.1187,0.0917849357383796,-0.16479379498512217
1963-09-01,-0.23453006746281382,0.09260015645723235,50,0.0685,0.0666680902989588,-0.18111473021159538
1963-10-01,-0.23502039171418596,0.0875718289843594,50,0.0681,0.0514338585065318,-0.20562019472516788
