well,code,month,observed_m_bg,predicted_m_bg,predicted_lo_m_bg,predicted_hi_m_bg,residual_m
nw3,1E,1995-04,-0.388,-0.4222068370015003,-0.4222068370015003,0.05274383994604881,0.03420683700150029
nw3,1E,1995-05,-0.5479999999999999,-0.6107918592977115,-0.6107918592977115,-0.14947942890520483,0.06279185929771158
nw3,1E,1995-06,-0.8079999999999999,-0.9323964541027967,-0.9323964541027967,-0.4943931225679918,0.12439645410279676
nw3,1E,1995-07,-0.958,-1.1622930986251165,-1.1622930986251165,-0.7340806661752577,0.20429309862511658
nw3,1E,1995-08,-1.158,-1.520390051754366,-1.520390051754366,-1.1161873479399267,0.3623900517543661
nw3,1E,1995-10,-1.1079999999999999,-1.3881003666096003,-1.3881003666096003,-0.9712085022131454,0.28010036660960047
nw3,1E,1995-11,-1.0979999999999999,-1.3064263383502361,-1.3064263383502361,-0.8884497213079119,0.20842633835023627
nw3,1E,1995-12,-1.008,-1.1800692420664423,-1.1800692420664423,-0.7594180670097141,0.17206924206644225
nw3,1E,1996-01,-1.018,-1.1817060090314009,-1.1817060090314009,-0.7693258748092751,0.16370600903140087
nw3,1E,1996-02,-0.9279999999999999,-1.0726444416547674,-1.0726444416547674,-0.6576500854134275,0.14464444165476742
nw3,1E,1996-03,-1.048,-1.0738405119713152,-1.0738405119713152,-0.6644602599473175,0.025840511971315205
nw3,1E,1996-04,-1.128,-1.1036092489385632,-1.1036092489385632,-0.6984143625087869,-0.024390751061436733
nw4,1F,1989-05,-0.482,-0.623271887052375,-0.623271887052375,-0.22878583408344486,0.14127188705237503
nw4,1F,1989-06,-0.532,-0.7025279327278572,-0.7025279327278572,-0.3113883158103954,0.17052793272785716
nw4,1F,1989-07,-0.722,-0.8969053333370774,-0.8969053333370774,-0.5188853026567304,0.17490533333707747
nw4,1F,1989-08,-0.772,-0.884902216993385,-0.884902216993385,-0.5016464111195277,0.11290221699338499
nw4,1F,1989-09,-0.902,-1.0843351115338948,-1.0843351115338948,-0.719952979700073,0.1823351115338948
nw4,1F,1989-10,-0.532,-0.9655077864900166,-0.9655077864900166,-0.590227488827002,0.43350778649001653
nw4,1F,1989-11,-0.722,-0.8779027414803584,-0.8779027414803584,-0.4974983434187954,0.15590274148035843
nw4,1F,1989-12,-0.34199999999999997,-0.702097289914977,-0.702097289914977,-0.3086555197853923,0.360097289914977
nw4,1F,1990-01,-0.032,-0.49220376283666056,-0.49220376283666056,-0.08106890848425,0.46020376283666053
nw4,1F,1990-02,-0.04200000000000001,-0.34737681407178234,-0.34737681407178234,0.07540926980597024,0.3053768140717823
nw4,1F,1990-03,-0.24200000000000002,-0.5414824058724302,-0.5414824058724302,-0.13958425082411036,0.29948240587243025
nw4,1F,1990-04,-0.432,-0.6840434009103545,-0.6840434009103545,-0.29711023440288936,0.25204340091035454
nw4,1F,1990-05,-0.582,-0.8519134572256916,-0.8519134572256916,-0.47877744498360264,0.2699134572256916
nw4,1F,1990-06,-0.6619999999999999,-0.9752603323622403,-0.9752603323622403,-0.6106966391131522,0.3132603323622404
nw4,1F,1990-07,-0.9319999999999999,-1.101332014049695,-1.101332014049695,-0.7433505433147658,0.169332014049695
nw4,1F,1990-08,-1.052,-1.200929117650172,-1.200929117650172,-0.8482087126751843,0.14892911765017192
nw4,1F,1990-10,-0.892,-1.126056151851031,-1.126056151851031,-0.7663395927731419,0.234056151851031
nw4,1F,1990-11,-0.7919999999999999,-0.9975850230149038,-0.9975850230149038,-0.6287209221635395,0.2055850230149039
nw4,1F,1990-12,-0.44199999999999995,-0.7393360005541598,-0.7393360005541598,-0.34897421169263765,0.2973360005541599
nw4,1F,1991-01,-0.582,-0.7296282003762361,-0.7296282003762361,-0.3426419293854766,0.14762820037623614
nw4,1F,1991-02,-0.422,-0.7712554523738587,-0.7712554523738587,-0.39273922519114607,0.34925545237385874
nw4,1F,1991-03,-0.192,-0.7026653737127949,-0.7026653737127949,-0.31887419371408876,0.5106653737127949
nw4,1F,1991-04,-0.352,-0.6590548008732567,-0.6590548008732567,-0.27126622968963204,0.30705480087325676
nw4,1F,1991-05,-0.6819999999999999,-0.8680773143757087,-0.8680773143757087,-0.49898575972700515,0.18607731437570874
nw4,1F,1991-06,-0.762,-0.9514544017788167,-0.9514544017788167,-0.5875301194659255,0.18945440177881667
