mode,month,well,observed_h_m,modelled_h_recurrence_m,modelled_h_nearest_hollow_m
R,2007-07,nw4b,-0.55,-0.496,-0.791
R,2007-07,nw5,-0.57,-0.659,-0.646
R,2007-07,nw6,-0.44,-0.526,-0.87
R,2007-07,nw7,-1.08,-0.943,-1.769
R,2007-07,nw9,-0.349,-0.657,0.406
R,2007-07,nw10,-0.98,-1.229,-1.036
R,2007-07,nw11,-0.78,-0.955,-1.085
R,2007-07,ceh1,-0.6,-0.676,-1.584
R,2007-07,ceh2,-1.07,-1.081,-2.252
R,2007-07,ceh4,-0.38,-0.509,-0.89
R,2007-07,ceh5,-0.52,-0.544,-1.318
R,2007-07,ceh6,-0.46,-0.469,-0.521
R,2007-07,ceh9,-0.61,-0.687,-2.904
R,2007-07,ceh10,-1.4,-1.021,-1.116
R,2007-07,ceh11,-0.66,-0.544,-0.588
R,2007-07,ceh13,-0.85,-0.824,-3.773
R,2007-07,ceh14,-0.99,-0.907,-3.555
R,2007-07,ceh16,-0.51,-1.083,-0.024
R,2007-07,ceh17,-1.53,-1.808,-0.446
R,2007-07,nw8,-1.06,-1.176,-1.566
R,2007-07,nw12,-0.96,-1.193,-2.982
R,2007-07,ceh3,-0.55,-0.79,-0.773
R,2007-07,ceh7,-0.54,-0.64,-0.534
R,2007-07,ceh8,-0.57,-0.578,-0.695
R,2007-07,ceh12,-1.5,-1.01,-24.255
R,2007-08,nw1,-1.66,-1.314,-2.193
R,2007-08,nw2,-0.85,-0.878,-1.057
R,2007-08,nw3,-0.69,-0.739,-1.349
R,2007-08,nw4,-0.52,-0.604,-0.825
R,2007-08,nw4b,-0.56,-0.619,-0.921
R,2007-08,nw5,-0.68,-0.779,-0.823
R,2007-08,nw6,-0.53,-0.653,-1.008
R,2007-08,nw7,-1.16,-1.046,-1.916
R,2007-08,nw9,-0.429,-0.761,0.294
R,2007-08,nw10,-1.11,-1.352,-1.146
R,2007-08,nw11,-0.91,-1.057,-1.189
R,2007-08,ceh1,-0.7,-0.794,-1.691
R,2007-08,ceh2,-1.19,-1.207,-2.359
R,2007-08,ceh4,-0.46,-0.637,-1.028
R,2007-08,ceh5,-0.63,-0.633,-1.464
R,2007-08,ceh6,-0.55,-0.564,-0.619
R,2007-08,ceh9,-0.69,-0.805,-3.081
R,2007-08,ceh10,-1.54,-1.11,-1.23
R,2007-08,ceh11,-0.78,-0.633,-0.743
R,2007-08,ceh13,-0.96,-0.954,-3.906
R,2007-08,ceh14,-1.15,-1.036,-3.659
R,2007-08,ceh16,-0.58,-1.168,-0.132
R,2007-08,ceh17,-1.62,-1.86,-0.558
R,2007-08,ceh18,-0.62,-0.738,-0.506
R,2007-08,nw8,-1.18,-1.256,-1.664
R,2007-08,nw12,-1.13,-1.317,-3.081
R,2007-08,ceh3,-0.58,-0.888,-0.911
R,2007-08,ceh7,-0.68,-0.754,-0.676
R,2007-08,ceh8,-0.65,-0.696,-0.823
R,2007-08,ceh12,-1.45,-1.1,-24.365
R,2007-08,ceh15,-0.852,-1.22,0.1
R,2007-09,nw1,-1.53,-1.268,-2.191
R,2007-09,nw2,-0.7,-0.858,-1.044
R,2007-09,nw3,-0.59,-0.71,-1.316
R,2007-09,nw4,-0.39,-0.584,-0.81
R,2007-09,nw4b,-0.41,-0.597,-0.906
R,2007-09,nw5,-0.62,-0.764,-0.862
R,2007-09,nw6,-0.41,-0.645,-1.011
R,2007-09,nw7,-1.14,-1.016,-1.926
R,2007-09,nw9,-0.349,-0.772,0.317
R,2007-09,nw10,-1.03,-1.357,-1.123
R,2007-09,nw11,-0.79,-1.026,-1.16
R,2007-09,ceh1,-0.74,-0.778,-1.665
R,2007-09,ceh2,-1.16,-1.215,-2.333
R,2007-09,ceh4,-0.39,-0.63,-1.02
R,2007-09,ceh5,-0.46,-0.579,-1.464
R,2007-09,ceh6,-0.34,-0.517,-0.574
R,2007-09,ceh9,-0.61,-0.788,-3.12
R,2007-09,ceh10,-1.41,-1.057,-1.2
R,2007-09,ceh11,-0.64,-0.579,-0.749
R,2007-09,ceh13,-0.96,-0.967,-3.921
R,2007-09,ceh14,-1.21,-1.047,-3.63
R,2007-09,ceh16,-0.5,-1.161,-0.105
R,2007-09,ceh17,-1.57,-1.822,-0.535
R,2007-09,ceh18,-0.56,-0.725,-0.52
R,2007-09,nw8,-1.1,-1.246,-1.67
R,2007-09,nw12,-1.22,-1.323,-3.048
R,2007-09,ceh3,-0.45,-0.894,-0.903
R,2007-09,ceh7,-0.58,-0.724,-0.674
R,2007-09,ceh8,-0.6,-0.67,-0.807
R,2007-09,ceh12,-1.27,-1.048,-24.342
R,2007-09,ceh15,-0.802,-1.228,0.127
R,2007-10,nw1,-1.69,-1.736,-2.025
R,2007-10,nw2,-0.87,-0.972,-1.045
R,2007-10,nw3,-0.73,-0.826,-1.58
R,2007-10,nw4,-0.51,-0.667,-0.807
R,2007-10,nw4b,-0.53,-0.705,-0.903
R,2007-10,nw5,-0.77,-0.812,-0.112
R,2007-10,nw6,-0.58,-0.671,-0.832
R,2007-10,nw7,-1.28,-1.265,-1.576
R,2007-10,nw9,-0.469,-0.551,0.142
R,2007-10,nw10,-1.22,-1.193,-1.263
R,2007-10,nw11,-0.95,-1.029,-1.365
R,2007-10,ceh1,-0.78,-0.869,-1.887
R,2007-10,ceh2,-1.31,-1.271,-2.555
R,2007-10,ceh4,-0.49,-0.604,-0.901
R,2007-10,ceh5,-0.61,-0.784,-1.212
R,2007-10,ceh6,-0.4,-0.711,-0.719
R,2007-10,ceh9,-0.77,-0.821,-2.37
R,2007-10,ceh10,-1.56,-1.622,-1.404
R,2007-10,ceh11,-0.74,-0.921,0.021
R,2007-10,ceh13,-1.12,-1.046,-3.98
R,2007-10,ceh14,-1.39,-1.291,-3.835
R,2007-10,ceh16,-0.62,-0.695,-0.333
R,2007-10,ceh17,-1.67,-1.688,-0.71
R,2007-10,ceh18,-0.69,-0.755,-0.155
R,2007-10,nw8,-1.32,-1.268,-1.506
R,2007-10,nw12,-1.38,-1.301,-3.3
R,2007-10,ceh3,-0.62,-0.695,-0.784
R,2007-10,ceh7,-0.73,-0.817,-0.372
R,2007-10,ceh8,-0.7,-0.789,-0.764
