quadrat,piezo,window_end_year,msl5_pipeline_m,msl5_published_m,diff_m,datum_offset_m,resid_m
CEH9-4,CEH9,2019,-0.5993333333333334,-0.19633333333333383,-0.4029999999999996,-0.4029999999999996,0.0
CEH9-5,CEH9,2011,-0.3826666666666666,0.01933333333333258,-0.4019999999999992,-0.40199999999999925,5.551115123125783e-17
CEH9-5,CEH9,2012,-0.6140000000000001,-0.21200000000000072,-0.40199999999999936,-0.40199999999999925,-1.1102230246251565e-16
CEH9-5,CEH9,2013,-0.5993333333333333,-0.19733333333333408,-0.4019999999999992,-0.40199999999999925,5.551115123125783e-17
CEH9-5,CEH9,2019,-0.5993333333333334,-0.1973333333333341,-0.40199999999999925,-0.40199999999999925,0.0
CEH9-6,CEH9,2011,-0.3826666666666666,-0.38766666666666744,0.005000000000000837,0.0050000000000007955,4.163336342344337e-17
CEH9-6,CEH9,2012,-0.6140000000000001,-0.6190000000000009,0.005000000000000782,0.0050000000000007955,-1.3877787807814457e-17
CEH9-6,CEH9,2013,-0.5993333333333333,-0.604333333333334,0.005000000000000782,0.0050000000000007955,-1.3877787807814457e-17
CEH9-6,CEH9,2019,-0.5993333333333334,-0.6043333333333342,0.005000000000000782,0.0050000000000007955,-1.3877787807814457e-17
CEH9-7,CEH9,2011,-0.3826666666666666,-0.476666666666667,0.09400000000000042,0.0940000000000003,1.1102230246251565e-16
CEH9-7,CEH9,2012,-0.6140000000000001,-0.7080000000000003,0.0940000000000002,0.0940000000000003,-1.1102230246251565e-16
CEH9-7,CEH9,2013,-0.5993333333333333,-0.6933333333333336,0.0940000000000003,0.0940000000000003,0.0
CEH9-7,CEH9,2019,-0.5993333333333334,-0.6933333333333337,0.0940000000000003,0.0940000000000003,0.0
CEH9-8,CEH9,2011,-0.3826666666666666,-0.25266666666666676,-0.12999999999999984,-0.1299999999999999,5.551115123125783e-17
CEH9-8,CEH9,2012,-0.6140000000000001,-0.48400000000000015,-0.12999999999999995,-0.1299999999999999,-5.551115123125783e-17
CEH9-8,CEH9,2013,-0.5993333333333333,-0.46933333333333344,-0.12999999999999984,-0.1299999999999999,5.551115123125783e-17
CEH9-8,CEH9,2019,-0.5993333333333334,-0.46933333333333344,-0.12999999999999995,-0.1299999999999999,-5.551115123125783e-17
CEH9-9,CEH9,2011,-0.3826666666666666,-0.2766666666666668,-0.10599999999999982,-0.10599999999999986,4.163336342344337e-17
CEH9-9,CEH9,2012,-0.6140000000000001,-0.5080000000000002,-0.10599999999999987,-0.10599999999999986,-1.3877787807814457e-17
CEH9-9,CEH9,2013,-0.5993333333333333,-0.49333333333333346,-0.10599999999999982,-0.10599999999999986,4.163336342344337e-17
CEH9-9,CEH9,2019,-0.5993333333333334,-0.49333333333333346,-0.10599999999999993,-0.10599999999999986,-6.938893903907228e-17
NW2-1,NW2,2011,-0.47133333333333327,-0.6403333333333339,0.1690000000000006,0.16900000000000054,5.551115123125783e-17
NW2-1,NW2,2012,-0.6866666666666668,-0.8556666666666672,0.16900000000000048,0.16900000000000054,-5.551115123125783e-17
NW2-1,NW2,2013,-0.6980000000000001,-0.8670000000000005,0.16900000000000048,0.16900000000000054,-5.551115123125783e-17
NW2-1,NW2,2014,-0.6606666666666667,-0.8296666666666672,0.16900000000000048,0.16900000000000054,-5.551115123125783e-17
NW2-1,NW2,2015,-0.6933333333333332,-0.8623333333333338,0.1690000000000006,0.16900000000000054,5.551115123125783e-17
NW2-1,NW2,2016,-0.5506666666666666,-0.7196666666666672,0.1690000000000006,0.16900000000000054,5.551115123125783e-17
NW2-1,NW2,2017,-0.41600000000000004,-0.5850000000000005,0.16900000000000048,0.16900000000000054,-5.551115123125783e-17
NW2-1,NW2,2018,-0.45666666666666667,-0.6256666666666671,0.16900000000000048,0.16900000000000054,-5.551115123125783e-17
NW2-1,NW2,2019,-0.5933333333333334,-0.7623333333333339,0.16900000000000048,0.16900000000000054,-5.551115123125783e-17
NW2-2,NW2,2011,-0.47133333333333327,-0.8543333333333344,0.3830000000000011,0.38300000000000095,1.6653345369377348e-16
NW2-2,NW2,2012,-0.6866666666666668,-1.0696666666666677,0.3830000000000009,0.38300000000000095,-5.551115123125783e-17
NW2-2,NW2,2013,-0.6980000000000001,-1.0810000000000008,0.3830000000000008,0.38300000000000095,-1.6653345369377348e-16
NW2-2,NW2,2014,-0.6606666666666667,-1.0436666666666676,0.3830000000000009,0.38300000000000095,-5.551115123125783e-17
NW2-2,NW2,2015,-0.6933333333333332,-1.0763333333333343,0.383000000000001,0.38300000000000095,5.551115123125783e-17
NW2-2,NW2,2016,-0.5506666666666666,-0.9336666666666676,0.383000000000001,0.38300000000000095,5.551115123125783e-17
