well,network,cluster_id,cluster_label,n_springs,n_msl5_windows,n_obs_ssm,spring_sd_mm,rho_lag1,rho_ar1_expected,t_R_months,beta_2,beta_3,se_beta_3,rel_se_beta_3,msl5_window_se_mm,msl5_window_spread_mm,ewi_se_mm_beta3,ewi_se_mm_full,ewi_over_msl5_se_beta3
d5,reference,2,C2 (Dune),15,11,100,267.25193709980454,-0.04447420500909164,0.4280163402790109,14.14103956729733,1.6600677401717605,0.0707161588255935,0.00990028152593168,0.1400002727855827,119.51869969473218,253.33333333333334,431.7395075937237,579.3837152919945,3.6123176431508046
d6,reference,2,C2 (Dune),15,11,100,276.57447306907983,-0.11312246387196745,0.44648780224914547,14.882000660853924,1.966683621411891,0.0671952664691402,0.008611985924841763,0.12816358022475982,123.68786452472948,279.3333333333333,397.01058646255905,534.9998374184416,3.2097780003565584
d7,reference,2,C2 (Dune),15,11,100,292.2541475710597,-0.12736120075860538,0.4017782624814294,13.159988092545525,1.806107147346444,0.0759879107008045,0.00916523058422921,0.12061432535389048,130.7000281350289,302.00000000000006,382.95994062080234,524.4780305643133,2.93006777492931
d8,reference,2,C2 (Dune),15,11,100,245.63878500434882,-0.1121600589562179,0.5061095137800293,17.621088378455855,1.591317123371313,0.056750183559753,0.0085802785329682,0.15119384634120017,109.85300423603599,232.66666666666663,490.51797285882185,652.6333320920471,4.465221286118575
d9,reference,3,C3 (Western Residual),14,9,100,302.7118981548186,-0.411254968263808,0.4734563025451599,16.049310829470258,2.0946533474390554,0.0623079713905078,0.008845409693836577,0.14196272959039258,135.3768763744335,244.66666666666669,444.9707225187301,593.5105613041278,3.286903453792237
d10,reference,2,C2 (Dune),15,11,100,251.968335963157,-0.12363685328868228,0.4896547846411901,16.805436218586422,1.9341804971377723,0.0595045547757947,0.00827110885181847,0.13899959226622086,112.68366547822478,255.99999999999994,446.5593353040404,597.6363149436422,3.9629464786121504
d15,reference,3,C3 (Western Residual),15,11,100,315.3140703536126,-0.06939553087955946,0.4704568364876593,15.914041602235725,1.982469661691394,0.0628375886524962,0.007989578677224406,0.12714648745368468,141.01273911456576,305.33333333333337,416.683795797403,557.2988710432419,2.954937251866786
d17,reference,2,C2 (Dune),15,11,100,253.98787622609325,-0.08444988584106593,0.4193502345455333,13.808199997066042,1.3513844651512736,0.0724207355203777,0.010735684643895823,0.14824048066834425,113.58683134046944,210.66666666666663,484.7901975795363,647.199508429538,4.268014098627401
d25,reference,3,C3 (Western Residual),14,10,100,376.47195849244275,-0.14844923766919715,0.4519517006412254,15.109925428082398,1.673248957324297,0.06618166348733,0.007570479861521054,0.11438938616238269,168.36337816231625,282.66666666666674,340.75057150609814,470.90472814879513,2.0238995868661314
d38,reference,3,C3 (Western Residual),15,11,100,363.9694446155565,-0.20683256734561192,0.2706120937370219,9.18084751125096,1.226539275783697,0.1089224059951457,0.010368419852081789,0.09519088159459013,162.7720839786458,268.66666666666663,283.139170951364,382.70840671630964,1.7394823733319607
d41,reference,2,C2 (Dune),15,11,100,224.91785684565448,-0.11611139255668285,0.4508483071769285,15.063561757426555,1.2973981884153236,0.0663853619816698,0.009157266900512745,0.1379410554851118,100.58632345208997,214.00000000000003,441.33804727288316,590.5567294519109,4.387654624667695
t41a,reference,3,C3 (Western Residual),15,11,100,405.06946298291837,-0.18412586367835457,0.31492944388060845,10.38595369830152,1.6063833649592816,0.0962838877438416,0.011305223990881077,0.11741553291821838,181.15257096782804,343.33333333333337,376.6931694398056,509.6329133783247,2.079424914740541
t41b,reference,2,C2 (Dune),15,11,100,238.52338298960177,-0.14623336860792502,0.4533580351949786,15.16926815583888,1.243364509230155,0.0659227584169962,0.009014969463201893,0.1367504892040084,106.67089971759331,204.66666666666666,449.56313386085037,598.1426798822544,4.214487128645673
t41c,reference,2,C2 (Dune),15,11,100,239.7070522522667,-0.157393071038051,0.4274601657411419,14.119404933048362,1.3727313049942875,0.0708245145416409,0.008427962030153975,0.11899780866410033,107.20025270443247,225.33333333333334,386.774198224657,516.0802653264454,3.607959761914487
t41d,reference,2,C2 (Dune),15,11,100,220.22883721425026,-0.10488647744221624,0.436301131747361,14.467896014953938,1.4021563009702565,0.0691185504074957,0.009342781595701849,0.13517039261703978,98.48933012335979,218.00000000000009,408.4156973644319,548.6050757660539,4.146801454054803
d43,reference,2,C2 (Dune),15,11,100,302.6141832686365,-0.13781522325728962,0.3967964028841363,12.982348770172216,1.7475896216204545,0.0770276640770555,0.007927391046357273,0.10291615540135057,135.33317694885014,280.66666666666663,312.1174770250666,420.00702925461877,2.3062894410809034
d44,reference,2,C2 (Dune),15,11,100,257.61009872084395,-0.12443317026838917,0.3387344724254659,11.08505358140444,1.284183013163827,0.0902115621414347,0.011905120752931595,0.1319689014393367,115.20673848604773,238.66666666666669,388.57871149085406,525.3718403576224,3.3728818001206884
nw8,extended,5,C5 (Coastal Forest),10,6,112,,,0.5348222844550256,19.174819140973074,1.7631634181368236,0.05215173048819966,0.008251726246752019,0.15822535838229054,,443.67777777777815,354.09236639021384,515.4416656283294,
