level,Cluster,Cluster_Label,well,fit_basis,n,fit_start,fit_end,beta_3_A,pvalue_beta_3_A,t_half_A_months,R2_A,alpha_B,pvalue_alpha_B,beta_1_B,beta_2_B,beta_3_B,pvalue_beta_3_B,t_efold_B_months,t_half_B_months,R2_B,drainage_datum_m,ratio_t_half_A_over_B,note
well,3,C3 (Western Residual),D9,comparison_window,100,2017-11,2026-02,0.06230797139050788,2.7080449958347586e-10,11.124534551377494,0.7947839510126674,0.2549754207939583,0.05194487703056314,3.8772075864541664,2.635880484628225,0.12300659242726449,0.00022220837703944984,8.129645576445945,5.635040910265138,0.8021581397016553,3.7,1.9741710359391278,
well,2,C2 (Dune),D10,comparison_window,100,2017-11,2026-02,0.05950455477579476,1.3244197465919122e-10,11.648640732993156,0.7914502404016382,0.4501241369866324,0.0022552257991985116,3.4575124301980513,2.8376450840806364,0.16525144665729025,6.447735528030524e-06,6.051384240368367,4.19449992469622,0.8104848420357921,3.7,2.777122646828225,
well,3,C3 (Western Residual),D15,comparison_window,100,2017-11,2026-02,0.06283758865249625,5.190234768166479e-12,11.030773067903358,0.8116336761691417,0.3663178482541627,0.005766703988098072,3.804126641688992,2.7618846649023343,0.14647816568596048,6.162273445885157e-06,6.826956053941404,4.732085340596134,0.825655105573955,3.7,2.3310596225455504,
well,2,C2 (Dune),D17,comparison_window,100,2017-11,2026-02,0.07242073552037774,1.106550872249784e-09,9.571114896574167,0.6867687395534388,0.6107366537199496,0.0024196566325891864,3.509108936609878,2.571089242425038,0.2154280102859741,1.3951684152280932e-05,4.641921905477986,3.2175350811615147,0.7149794082665318,3.7,2.9746730509987294,
well,3,C3 (Western Residual),D25,comparison_window,100,2015-10,2026-02,0.06618166348733005,6.944334894568307e-14,10.47340220894633,0.8053159776029364,0.2586359462517905,0.007523882482750729,3.632710603429794,2.2344938994094514,0.12895633369879722,6.115889705330368e-07,7.754562892084819,5.375053405123368,0.8191885633605583,3.7,1.9485205856677335,
well,3,C3 (Western Residual),D38,comparison_window,100,2017-11,2026-02,0.10892240599514577,1.0913037157836069e-17,6.363678567574389,0.7927899224827535,0.37362198106754624,0.015968933003969323,4.884195330777477,2.226306152058899,0.19880817017787727,9.90412568488883e-07,5.029974367277169,3.4865125509669643,0.804632038517718,3.7,1.8252274943939208,
well,2,C2 (Dune),D41,comparison_window,100,2017-11,2026-02,0.0663853619816698,1.0171252288536035e-10,10.441265361350831,0.72102991826334,0.7208115703317199,3.058316682308321e-05,3.0532808785038705,2.793698207245332,0.23870828143166226,4.762329422911331e-08,4.189213687947737,2.903741656564104,0.7670381984369365,3.7,3.595796939355003,
well,3,C3 (Western Residual),T41a,comparison_window,100,2017-11,2026-02,0.0962838877438416,2.1155788030212309e-13,7.198994523403835,0.7459473212106607,0.4141576276686803,0.016412385694191043,4.853270107675867,2.7123503563967386,0.18770308438227643,5.578525820324421e-06,5.327562960890926,3.6927852455971397,0.7603187374354845,3.7,1.949475543422706,
well,2,C2 (Dune),T41b,comparison_window,100,2017-11,2026-02,0.06592275841699627,7.516592663231683e-11,10.51453545337747,0.7233866566575076,0.6550151484700271,0.00030720544543622985,3.171478168262425,2.552333278072414,0.2211131106251505,9.979165290002113e-07,4.522572167578448,3.1348081468358817,0.758053093040196,3.7,3.354124067844571,
well,2,C2 (Dune),T41c,comparison_window,100,2017-11,2026-02,0.0708245145416409,3.698649000241871e-13,9.786825720526656,0.7754592858228859,0.5762014677343903,0.0002619510464486128,3.513343422033185,2.5933884388032693,0.20670184452915014,1.7714717085892405e-07,4.837886194377791,3.3533671755028496,0.8042144626779872,3.7,2.918507043315078,
well,2,C2 (Dune),T41d,comparison_window,100,2017-11,2026-02,0.06911855040749573,4.984911824286359e-11,10.028381331399785,0.7365268198211364,0.7022497223442112,2.313135572134839e-05,3.038510699173985,2.9161618683011934,0.24384661783687364,2.5655650575144433e-08,4.100938568969496,2.8425540067307424,0.7812382229709907,3.7,3.527947510462098,
well,2,C2 (Dune),D43,comparison_window,100,2017-11,2026-02,0.07702766407705554,5.486494324790721e-16,8.99867844709074,0.8352358234426188,0.38798067029725286,0.0013943018029362294,3.9767763406764383,2.676899962521248,0.1703793788251252,8.279628411316367e-08,5.86925487635675,4.068257469534392,0.8516107076892836,3.7,2.2119245191530688,
well,2,C2 (Dune),D44,comparison_window,100,2017-11,2026-02,0.09021156214143478,2.0967895893373805e-11,7.683573636306406,0.6948140518508408,0.7448892926864034,8.467126030650063e-05,3.6154443132618397,3.0988084838797363,0.2741920080849247,4.527484182670672e-08,3.647079311262321,2.527962741879985,0.7400434311173443,3.7,3.0394331012142675,
