ref_depth,Cluster,Cluster_Label,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,R2,AIC,beta_3_positive,beta_3_sig
1.7,2,C2 (Dune),3.7361512998408166,2.1966710526178517,0.13814465119884728,2.4055197481846473e-78,1.4487777528945608e-31,3.943332271435722e-32,0.7744323288447541,-1128.9847260405766,True,True
1.7,3,C3 (Western Residual),3.214625311536664,2.2958224375680842,0.11906767949307705,1.985164052348057e-88,1.1224497189571113e-45,1.7486074695370668e-29,0.8140124895782161,-1241.2814000679564,True,True
1.7,4,C4 (Main Forest),2.2522407610890323,2.814147459390801,0.026272741554870485,7.940696944807743e-61,5.201755793246375e-53,0.023168418722636034,0.7157848618324756,-1132.4228638124648,True,True
1.7,5,C5 (Coastal Forest),1.9744419470610823,1.8333046055211915,0.07940481933522242,1.1383512950035422e-53,3.808161008861694e-34,2.7124972168583783e-12,0.6548251306607094,-1183.2557633591687,True,True
1.8,1,C1 (Lake Edge),4.442431904645475,1.4866103876857535,0.17940730520035866,1.7202542225786956e-77,4.966134405651101e-15,2.7802575881798034e-45,0.7777732737372947,-1047.1371433656907,True,True
1.8,2,C2 (Dune),3.7669777605784533,2.143970024068139,0.13146065743329602,9.613839021721979e-78,8.98779707576396e-30,1.0091374035328028e-31,0.7727045646889825,-1127.0923767477793,True,True
1.8,3,C3 (Western Residual),3.257125385215195,2.2397695641199067,0.11398958915755794,2.0234460173371283e-88,1.5395318163914453e-43,8.824620722266981e-30,0.8150377111013858,-1242.6577631754249,True,True
1.8,4,C4 (Main Forest),2.269765086687367,2.7915480467257803,0.026791756877599184,1.0487756760324035e-60,1.9535266323499364e-51,0.016823473641627965,0.7164642871092736,-1132.9900980743512,True,True
1.8,5,C5 (Coastal Forest),2.0219453466023114,1.7757437164896706,0.07867504461486784,2.5957594218094196e-54,3.5313190784589323e-32,5.121242060573222e-13,0.6595869404200764,-1186.5758067428367,True,True
1.9,1,C1 (Lake Edge),4.461968156250831,1.4249456671871545,0.17075892955385252,1.2952734222807861e-76,1.2034777999138562e-13,1.9143269340638487e-44,0.7740899860327379,-1043.2411948070733,True,True
1.9,2,C2 (Dune),3.7937705244560527,2.097283667664957,0.12526281216402593,3.862519776304388e-77,3.4413105794154126e-28,2.5887504227730793e-31,0.7709592202102183,-1125.1953213442448,True,True
1.9,3,C3 (Western Residual),3.294754918111441,2.189837831386778,0.10913010479319524,2.5560421231985657e-88,1.329108778510468e-41,5.4809850792365726e-30,0.8157484135868621,-1243.616368196984,True,True
1.9,4,C4 (Main Forest),2.2873351923950778,2.769575521148122,0.027053462751533145,2.2434386372681194e-60,6.920517789843371e-50,0.012542381826039858,0.7170923913118992,-1133.5156961399034,True,True
1.9,5,C5 (Coastal Forest),2.0663077682581883,1.7218079429491646,0.07746682276639393,8.631774208555133e-55,2.636352349074069e-30,1.1924519917977712e-13,0.6637002184028805,-1189.4812800402601,True,True
2.0,1,C1 (Lake Edge),4.478717437080249,1.3697732890905923,0.16281988585454846,8.7007943122417e-76,1.8185105477212786e-12,1.1630341388614673e-43,0.7705907223416055,-1039.5982926136894,True,True
2.0,2,C2 (Dune),3.817118695599559,2.0558169394503096,0.11951686300448891,1.52610012914927e-76,8.633344016194745e-27,6.565986278239889e-31,0.7692219125667179,-1123.3213036539125,True,True
2.0,3,C3 (Western Residual),3.328106462708555,2.1453239124407077,0.10451231711410082,3.7703753419669375e-88,7.440305748152058e-40,4.019363795113852e-30,0.8162098044489169,-1244.2406798402105,True,True
2.0,4,C4 (Main Forest),2.304585513778596,2.748564331979355,0.02709868935170051,6.735900056685148e-60,2.1153937502213178e-48,0.009608199933295316,0.7176656049505663,-1133.9963811492837,True,True
