Name_Original,Cluster,basis,window_months,n,fit_start,fit_end,beta_1_recharge,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,se_beta_3,pvalue_beta_3,R2,LCSC_percent,beta_3_significant_positive
Ceh32,4,comparison_window,100,100,2017-10,2026-02,2.3723851848552835,1.1797416698031246e-18,2.575319578729427,4.748252972262298e-13,0.013162952877371964,0.012718251308076673,0.3032583313411258,0.6705196821587633,42.15167108544393,False
ceh33,4,full_record,,186,2010-08,2026-02,2.3085332239420486,1.7724011611767313e-37,2.0897952491351046,1.3678197778345351e-21,0.028990133546611223,0.0081613879173529,0.0004860582704845111,0.677593023792738,43.31754854679549,True
ceh33,4,comparison_window,100,100,2017-10,2026-02,2.2416486894783665,1.8050335492787924e-19,2.1975394682381055,2.274866768788187e-12,0.019525711145240803,0.011717832438876108,0.09887495983585527,0.6817124471094045,44.61002318042534,False
ceh34,4,full_record,,184,2010-09,2026-02,2.448982846249043,1.2291577495463941e-37,2.481837054844558,1.2115289291455466e-25,0.01602331533891921,0.006166667932286388,0.010138218859054178,0.713641931878432,40.83327907060022,True
ceh34,4,comparison_window,100,100,2017-10,2026-02,2.3653647083997997,3.963283674097979e-22,2.646663031444718,3.802058845833176e-17,0.007715073728895008,0.007976676308723762,0.3358473968176478,0.7609792440493379,42.27677856394979,False
ceh36,3,full_record,,179,2011-02,2026-02,2.848779943620999,3.073866659942546e-47,1.0685080480243663,1.240323532343067e-08,0.050762150440206696,0.005357600529063045,1.8110909614325422e-17,0.7294826170182205,35.10274643147515,True
ceh36,3,comparison_window,100,100,2017-10,2026-02,2.755398855366156,5.574820287134648e-25,0.9858800603210418,0.00011406447511349336,0.0479153602191809,0.007496242997423419,5.725916597197066e-09,0.7154251480366093,36.29238641993677,True
ceh39,3,full_record,,152,2011-02,2026-02,3.286340942257299,5.390538041803344e-37,2.202437283365041,6.676104303841362e-15,0.037496137936404425,0.0070725485770554205,4.0639875836480426e-07,0.7364721217851351,30.428979146428034,True
ceh39,3,comparison_window,100,100,2017-10,2026-02,3.0250092905180326,4.460744325192642e-26,2.1524913224653206,3.6508247123987026e-12,0.03108882218462575,0.0076756285617201785,0.00010305366974495548,0.7691533194073709,33.05774971120006,True
ceh40,3,full_record,,138,2014-08,2026-02,2.9034803466833385,1.3985597759674898e-29,1.8089793841451052,2.2432186290784275e-10,0.037348845162470064,0.0075016817957806,1.9192582482230955e-06,0.68472573521531,34.441424793603495,True
ceh40,3,comparison_window,100,100,2017-10,2026-02,2.823628786320204,1.777538912715479e-18,1.7470642978777824,8.704091604134724e-07,0.03504663168460853,0.009714953763389782,0.0004909160562849142,0.640057005445152,35.41542021546024,True
ceh41,3,full_record,,138,2014-08,2026-02,3.2252153729262325,3.703181755222539e-33,2.2822161272126977,2.130526579323617e-14,0.035579107535808896,0.00726628567759022,2.7427775191251437e-06,0.7323018445618903,31.00568130718978,True
ceh41,3,comparison_window,100,100,2017-10,2026-02,3.1976335572373493,2.0407432985653197e-22,2.2012615382486995,7.72665800760537e-10,0.03443981983363629,0.009006383976415008,0.0002322041579973159,0.7144970600265356,31.2731268952521,True
ceh42,3,full_record,,138,2014-08,2026-02,3.2979499580951748,6.038707523948188e-33,1.3552716656690829,9.056603192032009e-07,0.052054681181053546,0.007280440593738803,4.952314147870065e-11,0.6946462561997317,30.321866999388266,True
ceh42,3,comparison_window,100,100,2017-10,2026-02,3.2319824654176768,1.8148450682931277e-23,1.2362036167006303,8.794618325172245e-05,0.05096577188417185,0.008579316027723816,4.440243865109266e-08,0.6921205446991318,30.9407619224434,True
WMC1,2,full_record,,202,2009-01,2026-02,3.626731377921667,2.554943219908676e-50,1.7630404317300012,3.744725928848853e-13,0.05477226284679185,0.006204970519984321,5.543587517209713e-16,0.7116586299446248,27.573037421179492,True
WMC1,2,comparison_window,100,100,2017-10,2026-02,3.6797650163871225,2.3794272935049906e-24,1.6685220327484171,3.6477688733415323e-06,0.055942231364649674,0.009719574863882339,1.0094228171093842e-07,0.7109843299157927,27.175648323919958,True
WMC2,3,full_record,,200,2009-03,2026-02,3.3758348079225335,2.3776872774605348e-58,1.9121963366427188,3.148685578502935e-20,0.04734380661900699,0.00524520842584987,1.6220974399099624e-16,0.7748476808331989,29.62230253841696,True
WMC2,3,comparison_window,100,100,2017-10,2026-02,3.356083953218111,3.407478361815521e-27,1.8237969075269698,4.465541139778206e-09,0.046071203092849455,0.008279267825750145,2.3290993406730522e-07,0.7599460823956486,29.796632442436707,True
wmc3,3,full_record,,191,2009-07,2026-02,2.42191153382212,3.880843404990538e-35,1.7826007935798809,7.529244643710828e-15,0.03460320800283095,0.007272854023022668,3.889620132553777e-06,0.6383918997693483,41.28969972829099,True
wmc3,3,comparison_window,100,100,2017-07,2026-02,2.459406260107092,5.316540412201797e-18,1.7594316846714702,6.015547723589143e-08,0.03335598903755404,0.010733021144503562,0.002473261263063379,0.6322792367160053,40.66022016047305,True
wmc4,3,full_record,,167,2012-03,2026-02,4.597141233627479,2.880929577369589e-58,1.824417559022202,4.696729130164899e-13,0.08281431696796766,0.006875742567551525,2.4431577537005155e-24,0.8137615979604006,21.75264907427974,True
wmc4,3,comparison_window,100,100,2017-10,2026-02,4.858779466031766,1.858103484711644e-35,1.7757800298981459,1.1755097788550166e-07,0.08694701029312435,0.009321020974001585,3.789858330979209e-15,0.8195838226101101,20.581300447799787,True
