ref_depth,Cluster,Cluster_Label,beta_2_atmospheric_draw,beta_3_drainage,mean_h_prev_m,mean_PET_m_month,h_disp_prev_mean_m,drainage_flux_m_month,et_flux_m_month,drainage_share_pct,all_beta3_pos_sig
2.5,3,C3 (Western Residual),1.995278033278856,0.08450863692254502,-0.7722,0.0548,1.7278,0.14601274080206367,0.10925366422371449,57.200139903767806,True
2.5,4,C4 (Main Forest),2.6726060662856588,0.024760311281305868,-1.3185,0.0551,1.1815,0.02925415556644376,0.14723366448981842,16.57573625030775,True
2.5,5,C5 (Coastal Forest),1.492692363307211,0.06535736358160602,-1.1527,0.0549,1.3473,0.08805611613226927,0.0819501558425439,51.79580441909519,True
2.6,1,C1 (Lake Edge),1.1520606467836025,0.12599454725187417,-0.3836,0.0551,2.2164,0.27925735757459774,0.06346693322304622,81.48163555161625,True
2.6,2,C2 (Dune),1.8923198002048367,0.09222994106162768,-0.5357,0.0547,2.0643,0.19039459110115223,0.10347391744494633,64.78904188921808,True
2.6,3,C3 (Western Residual),1.9720998823727258,0.08134218475203976,-0.7722,0.0548,1.8278,0.14867601125502147,0.1079845188343556,57.927103635002986,True
2.6,4,C4 (Main Forest),2.6593561471741793,0.024232503391844167,-1.3185,0.0551,1.2815,0.03105380412889419,0.14650372745585516,17.48943221486046,True
2.6,5,C5 (Coastal Forest),1.4646642260174263,0.06327699676432522,-1.1527,0.0549,1.4473,0.09158093313379914,0.08041138584858143,53.247106426410234,True
2.7,1,C1 (Lake Edge),1.1245445318347669,0.1213826900570243,-0.3836,0.0551,2.3164,0.2811737949071361,0.061951072547750154,81.94503563461619,True
2.7,2,C2 (Dune),1.872913967643723,0.08879489649662564,-0.5357,0.0547,2.1643,0.19218295721934914,0.10241278733566894,65.23616201912158,True
2.7,3,C3 (Western Residual),1.9511238015978134,0.07836695639656266,-0.7722,0.0548,1.9278,0.15107462964345073,0.10683595024016034,58.57635995841161,True
2.7,4,C4 (Main Forest),2.647255308665704,0.02367596177978075,-1.3185,0.0551,1.3815,0.03270819565231672,0.14583709318473026,18.319271186241448,True
2.7,5,C5 (Coastal Forest),1.439371602079449,0.06123703390250914,-1.1527,0.0549,1.5473,0.094752193898822,0.0790227980026627,54.52579387978809,True
2.8,1,C1 (Lake Edge),1.0993080342127366,0.11707525827556535,-0.3836,0.0551,2.4164,0.2829034817221659,0.06056079581723892,82.3676580717216,True
2.8,2,C2 (Dune),1.8553018718150693,0.0855812906359358,-0.5357,0.0547,2.2643,0.19378572846383338,0.10144974052423182,65.63768544749855,True
2.8,3,C3 (Western Residual),1.9320935078508918,0.07557035595431202,-0.7722,0.0548,2.0278,0.15324042133327762,0.10579392537524054,59.15834069128811,True
2.8,4,C4 (Main Forest),2.636221053533508,0.023102580946251054,-1.3185,0.0551,1.4815,0.03422633165024229,0.14522921691051127,19.072317309071764,True
2.8,5,C5 (Coastal Forest),1.4165450039401555,0.059251916548799015,-1.1527,0.0549,1.6473,0.09760580921461745,0.07776959719528025,55.65535739172426,True
2.9,1,C1 (Lake Edge),1.0761037680375884,0.11304481466827905,-0.3836,0.0551,2.5164,0.2844687019122658,0.05928247456224292,82.75424824134701,True
2.9,2,C2 (Dune),1.8392786507933567,0.08257059547324343,-0.5357,0.0547,2.3643,0.19522552981197025,0.10057357495801868,65.9993646579073,True
2.9,3,C3 (Western Residual),1.9147862114733605,0.0729401360097519,-0.7722,0.0548,2.1278,0.15520091483349716,0.10484624514445898,59.68183418986515,True
2.9,4,C4 (Main Forest),2.6261684316381526,0.022521684617699038,-1.3185,0.0551,1.5815,0.03561790577228516,0.14467541873649126,19.75553219695127,True
2.9,5,C5 (Coastal Forest),1.3959331773337127,0.057331260516539195,-1.1527,0.0549,1.7473,0.10017503446489796,0.07663798934082924,56.6559138624115,True
3.0,1,C1 (Lake Edge),1.0547166521281397,0.1092669245099355,-0.3836,0.0551,2.6164,0.2858886203244438,0.05810425997688395,83.10887715874051,True
3.0,2,C2 (Dune),1.824666573498861,0.07974601241962562,-0.5357,0.0547,2.4643,0.19652183692295325,0.09977457212588313,66.32609472177639,True
3.0,3,C3 (Western Residual),1.899008074940261,0.07046459246075638,-0.7722,0.0548,2.2278,0.15697995007226223,0.1039822957589037,60.15427617595809,True
3.0,4,C4 (Main Forest),2.617013590440854,0.0219404766672866,-1.3185,0.0551,1.6815,0.036892776638375,0.14417107923269978,20.375561130568343,True
3.0,5,C5 (Coastal Forest),1.3773055511556331,0.055481026652941225,-1.1527,0.0549,1.8473,0.10249021953193732,0.07561531587790077,57.54465704622678,True
3.1,1,C1 (Lake Edge),1.0349590783367344,0.10571978508563955,-0.3836,0.0551,2.7164,0.2871797775720579,0.057015816742606834,83.4350532998157,True
3.1,2,C2 (Dune),1.811311062396199,0.07709232378653436,-0.5357,0.0547,2.5643,0.19769145999735122,0.09904427957537326,66.62205917022702,True
3.1,3,C3 (Western Residual),1.8845902312139426,0.06813267413603695,-0.7722,0.0548,2.3278,0.15859820521937304,0.10319283071642207,60.58198465522312,True
3.1,4,C4 (Main Forest),2.6086760616856184,0.02136443691322994,-1.3185,0.0551,1.7815,0.03806061302441901,0.14371176540904726,20.93861198958248,True
