Well,Well_Normalized,Months_Used,OneStep_R2_Traditional,OneStep_R2_StateSpace,OneStep_R2_Improvement,Iterative_R2_Traditional,Iterative_R2_StateSpace,Iterative_R2_Improvement,Iterative_NSE_Traditional,Iterative_NSE_StateSpace,Iterative_NSE_Improvement,Beta_P_StateSpace,Beta_PET_StateSpace,Beta_hdisp_StateSpace,pvalue_beta_1_StateSpace,pvalue_beta_2_StateSpace,pvalue_beta_3_StateSpace,R2_StateSpace_fit
NW7,nw7,100,0.9337511848891079,0.9344035877059682,0.000652402816860298,0.5547109294821234,0.6202933662696829,0.06558243678755948,0.44369573986004496,0.610272248452078,0.166576508592033,3.0826027085300787,2.1821433335575353,0.046199649014951466,4.198064097345749e-28,1.7201994198225945e-13,1.2858070953537096e-06,0.7786625726387739
NW9,nw9,100,0.9232496591361055,0.9243176574206788,0.0010679982845733793,0.6930206255900507,0.8352485467874906,0.14222792119743988,0.6224656999506917,0.8345529347878977,0.21208723483720604,2.752134744551747,1.0414410661268527,0.05076520133627621,1.0451700358887169e-26,1.947560141359609e-05,1.3080154472867055e-09,0.741211934544429
T41A,t41a,100,0.9026804800555668,0.9084993401743027,0.005818860118735891,0.6006561741757562,0.8165345856773361,0.21587841150157983,0.3139659152262382,0.8121207285469103,0.49815481332067213,5.514195287358483,1.6063833649592816,0.0962838877438416,7.0159929855492e-29,0.00019238550208569306,2.1155788030212309e-13,0.7459473212106607
T41B,t41b,100,0.8976316353194788,0.9018449175380943,0.0042132822186154995,0.6095873197424746,0.7831025196938591,0.17351519995138454,0.4955885761209007,0.7694528688713207,0.27386429275042,3.9550058437884923,1.243364509230155,0.06592275841699627,2.8617842349133456e-26,0.00026375169330776455,7.516592663231683e-11,0.7233866566575076
T41C,t41c,100,0.9193603631799119,0.9238419354572831,0.004481572277371226,0.616595905643081,0.809866693761249,0.193270788118168,0.4813586729813756,0.7977028372639343,0.31634416428255874,4.239598737803876,1.3727313049942875,0.0708245145416409,1.5892008145319618e-30,1.8759465271297443e-05,3.698649000241871e-13,0.7754592858228859
T41D,t41d,100,0.9025380275152836,0.9073198714551923,0.00478184393990877,0.615493977833406,0.7871242706055078,0.17163029277210184,0.38340441897808686,0.7628518289159113,0.37944740993782444,3.9625760330089714,1.4021563009702565,0.06911855040749573,4.037631227711723e-27,2.911744426960899e-05,4.984911824286359e-11,0.7365268198211364
WMC1,wmc1,100,0.9023100310874992,0.9047594778274984,0.0024494467399992503,0.6611593440837962,0.8099919670221253,0.1488326229383291,0.462523188110721,0.7920411624726417,0.32951797436192065,3.660118041717663,1.5506979451083138,0.05824160875955017,2.2901356650771614e-25,5.03734909879892e-06,8.90635529539675e-09,0.7245910542378913
WMC2,wmc2,100,0.9440184612425818,0.945023013911493,0.001004552668911196,0.6297899369079107,0.7955691769999362,0.1657792400920255,0.5788674788375505,0.7950706122971162,0.21620313345956566,3.32461355004245,1.7583924081972346,0.04744362091529891,1.5686529889848059e-28,1.5991867990884378e-09,2.1332233056659897e-08,0.7768497154882511
WMC3,wmc3,100,0.9208574330854007,0.9213056160800813,0.00044818299468063483,0.7671519014023083,0.8268474974539621,0.059695596051653865,0.43734156084718956,0.7778582257646092,0.3405166649174196,2.488426610170577,1.7953965268286134,0.03464308401728843,1.4583972452704615e-19,3.5520671873407837e-09,0.0007478088770826552,0.6639924860799034
WMC4,wmc4,100,0.9342696983564757,0.9377395469525657,0.0034698485960900083,0.668698989709786,0.8415648153303457,0.17286582562055963,0.28626735740937137,0.8296266162727504,0.543359258863379,4.833355204515595,1.7024983656725978,0.08891709365247175,1.4368301934083928e-36,8.868709145526708e-08,1.4717086642079023e-16,0.8296948728486423
