spec,window_start,window_end,window_years,n_obs,n_wells,delta_0_mm_yr,delta_0_se,L_m,L_se,c_mm_yr,c_se,far_field_observed_mm_yr,n_far_field_wells,panel_max_dist_m,at_bound,reach_exceeds_panel,usable
c3_only,2006-01,2026-02,20.084873374401095,3631,20,-23.243236043980765,3.146611084640543,880.0562086568881,98.76087890834677,-3.165676513929477,1.2418268805389525,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-02,2026-02,20.0,3626,20,-23.413045216335057,3.148514874370593,877.4291949691849,97.50519949794375,-2.987970497320997,1.2445087854199073,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-03,2026-02,19.923340177960302,3621,20,-23.59560873858227,3.1496931655567604,875.245294449675,96.31435459372342,-2.7892209376816988,1.246859367664115,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-04,2026-02,19.838466803559207,3616,20,-23.80081197094637,3.149889437890268,872.0797611361604,94.7668422656031,-2.5778221844850875,1.2487899255758634,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-05,2026-02,19.756331279945243,3610,20,-24.082802593298084,3.1495996355170037,871.895498351365,93.71711019145313,-2.2666700282616605,1.251870500803707,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-06,2026-02,19.67145790554415,3602,20,-24.39530832518534,3.1535432185543324,867.2695747412088,91.53753311468935,-1.8375595085777967,1.25312953647358,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-07,2026-02,19.589322381930184,3594,20,-24.497687737470592,3.1617896726843595,856.021650381591,88.65876185806435,-1.6053399657974492,1.2559999525265348,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-08,2026-02,19.50444900752909,3586,20,-24.508845082644317,3.1691264192996336,842.1962175595459,85.52089650436196,-1.4219848466443032,1.2582962612031188,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-09,2026-02,19.419575633127995,3578,20,-24.557184772986062,3.1686100835028976,830.2394829696599,82.57037365441376,-1.0856913876086556,1.2575382698687871,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-10,2026-02,19.33744010951403,3570,20,-24.574304178308033,3.1777566511051556,822.4667714140928,81.01095814481421,-0.8694019829991383,1.2605959179508284,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-11,2026-02,19.252566735112936,3562,20,-24.641016075593342,3.1850702374221336,817.3121007482837,79.86506787597152,-0.5704981431296823,1.2629813125193703,-6.552631578946859,6,1375.8,False,False,True
c3_only,2006-12,2026-02,19.170431211498972,3554,20,-24.698960463815222,3.1914216816683356,814.9301102989673,79.36736772658644,-0.21911740689377268,1.265090594795701,-6.552631578946859,6,1375.8,False,False,True
c3_only,2007-01,2026-02,19.085557837097877,3546,20,-25.00889497098809,3.199094958662964,810.7397157384661,77.70282411389368,0.1320347844545766,1.2676836359937347,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-02,2026-02,19.000684462696782,3538,20,-25.3523400388711,3.20308518640582,806.0710368127004,75.78829085377511,0.551127227074594,1.2690142305321133,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-03,2026-02,18.924024640657084,3530,20,-25.760782117748192,3.2073533871036437,800.5790033893988,73.5763402848448,0.963967130919487,1.270354181554405,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-04,2026-02,18.83915126625599,3522,20,-26.012180492304687,3.21570177083328,793.4688104536266,71.62812519556397,1.2376442276797563,1.2730483196290134,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-05,2026-02,18.757015742642025,3514,20,-40.047434399397495,4.685415566846734,523.7999421525791,31.6758958462391,0.17689082799882316,1.0502378334932605,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-06,2026-02,18.67214236824093,3505,20,-41.315631935526454,4.6330819780332675,523.800777362442,29.691058523493787,0.6059979008636843,1.067427504339765,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-07,2026-02,18.590006844626966,3496,20,-41.54133617048837,4.698539005453587,523.799938834264,30.669780330520915,1.192353445074411,1.0540101539585074,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-08,2026-02,18.50513347022587,3487,20,-41.68716452979163,4.692253522104735,523.7999955735128,30.631511803160354,1.5879107156473546,1.06688829478093,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-09,2026-02,18.420260095824776,3477,20,-41.40527494193133,4.660558586487055,523.8013922826525,29.8311023341738,1.9711786850806492,1.0755780855910888,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-10,2026-02,18.338124572210816,3467,20,-41.20181198155078,4.669876212229723,523.8006748595363,30.031160549463745,2.356419294739575,1.0779011385809099,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-11,2026-02,18.253251197809718,3457,20,-40.956929279412314,4.749851653770894,523.7999945279589,31.60589793356088,2.7046532372645427,1.07541008324959,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2007-12,2026-02,18.171115674195757,3447,20,-40.92797921475683,4.782966803474473,523.7999633536457,31.714973965170802,3.070353601835439,1.0727400317620297,-1.2702098383225584,6,1375.8,False,False,True
c3_only,2008-01,2026-02,18.086242299794662,3437,20,-40.66024243384004,4.735805508582254,523.8000379205431,30.839071501731688,3.2442317510114953,1.0930911757167971,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-02,2026-02,18.001368925393567,3427,20,-41.05328679615009,4.817965356937206,523.7998319934582,31.85061383459336,3.808923779248445,1.0801047356735456,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-03,2026-02,17.921971252566735,3417,20,-41.09250923903787,4.835621603728348,523.7999845888421,31.937617939652732,4.20599151854012,1.0839196072384962,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-04,2026-02,17.83709787816564,3407,20,-41.3916930841382,4.848904421261222,523.7998212222437,31.794773814690657,4.674561811019744,1.0864072532887052,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-05,2026-02,17.754962354551676,3397,20,-42.33127127643892,4.785993838612688,523.800093729512,29.908138943968584,5.212803192495798,1.1047400605736015,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-06,2026-02,17.67008898015058,3387,20,-42.44086099746058,4.805849536027017,523.8000728739759,29.947866429152434,5.56950600270962,1.109225289270875,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-07,2026-02,17.587953456536617,3377,20,-42.46820618986301,4.819906088056222,523.8000216544818,30.00934726166373,6.0532139123641135,1.1125450945611381,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-08,2026-02,17.503080082135522,3367,20,-42.266213372091045,4.842008053703621,523.8011259757803,30.28440531786453,6.362754221833372,1.1177400543160674,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-09,2026-02,17.418206707734427,3357,20,-42.40170215394084,4.864288310449161,523.8006676728601,30.319736569914852,6.716240672519129,1.1230317157703475,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-10,2026-02,17.336071184120467,3347,20,-42.20670757227311,4.9696843310179215,523.7999933112828,32.08321156259959,6.944325680107087,1.1172896027977988,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-11,2026-02,17.251197809719372,3337,20,-42.60429422373216,4.884536004831833,523.8001633193364,30.287866585521833,7.693458085675096,1.1288062323986274,4.924428104575565,6,1375.8,False,False,True
c3_only,2008-12,2026-02,17.169062286105408,3327,20,-43.006950740230906,4.886048952842872,523.8001117248773,30.007229601143443,8.361500710443087,1.129966004458958,4.924428104575565,6,1375.8,False,False,True
